numFixed,strategy,trialCount,successes,failures,timeouts,avgSolveMs(success),success_rate
31,row-major,50,0,50,0,0.000,0.000
31,mrv,50,4,46,0,0.117,0.080
31,mrv+degree,50,0,50,0,0.000,0.000
31,random,50,0,0,50,0.000,0.000
32,row-major,50,2,48,0,0.063,0.040
32,mrv,50,0,50,0,0.000,0.000
32,mrv+degree,50,0,50,0,0.000,0.000
32,random,50,0,0,50,0.000,0.000
33,row-major,50,0,50,0,0.000,0.000
33,mrv,50,0,50,0,0.000,0.000
33,mrv+degree,50,1,49,0,0.190,0.020
33,random,50,0,0,50,0.000,0.000
34,row-major,50,0,50,0,0.000,0.000
34,mrv,50,0,50,0,0.000,0.000
34,mrv+degree,50,0,50,0,0.000,0.000
34,random,50,0,0,50,0.000,0.000
35,row-major,50,0,50,0,0.000,0.000
35,mrv,50,0,50,0,0.000,0.000
35,mrv+degree,50,0,50,0,0.000,0.000
35,random,50,0,1,49,0.000,0.000
36,row-major,50,0,50,0,0.000,0.000
36,mrv,50,0,50,0,0.000,0.000
36,mrv+degree,50,0,50,0,0.000,0.000
36,random,50,0,1,49,0.000,0.000
37,row-major,50,0,50,0,0.000,0.000
37,mrv,50,0,50,0,0.000,0.000
37,mrv+degree,50,0,50,0,0.000,0.000
37,random,50,0,2,48,0.000,0.000
38,row-major,50,0,50,0,0.000,0.000
38,mrv,50,0,50,0,0.000,0.000
38,mrv+degree,50,0,50,0,0.000,0.000
38,random,50,0,6,44,0.000,0.000
39,row-major,50,0,50,0,0.000,0.000
39,mrv,50,0,50,0,0.000,0.000
39,mrv+degree,50,0,50,0,0.000,0.000
39,random,50,0,21,29,0.000,0.000
40,row-major,50,0,50,0,0.000,0.000
40,mrv,50,0,50,0,0.000,0.000
40,mrv+degree,50,0,50,0,0.000,0.000
40,random,50,0,32,18,0.000,0.000
